Feature,Importance
GrLivArea,0.0362
LotArea,0.0362
1stFlrSF,0.0355
BsmtUnfSF,0.0347
TotalBsmtSF,0.0344
GarageArea,0.0342
LotFrontage,0.0323
YearBuilt,0.0307
GarageYrBlt,0.0306
MoSold,0.029
BsmtFinSF1,0.0289
YearRemodAdd,0.0286
OpenPorchSF,0.025
Neighborhood,0.0237
MasVnrArea,0.0232
WoodDeckSF,0.0227
YrSold,0.0215
TotRmsAbvGrd,0.0211
2ndFlrSF,0.0197
Exterior2nd,0.0182
OverallQual,0.0179
BsmtFinType1,0.0177
Exterior1st,0.0172
OverallCond,0.0155
BedroomAbvGr,0.0145
MSSubClass,0.0141
BsmtExposure,0.0129
GarageFinish,0.0129
HeatingQC,0.0123
HouseStyle,0.0123
LotConfig,0.0122
LotShape,0.0113
Fireplaces,0.0112
GarageType,0.011
FireplaceQu,0.011
KitchenQual,0.0099
EnclosedPorch,0.0097
Foundation,0.0096
BsmtQual,0.0095
BsmtFullBath,0.0093
GarageCars,0.0093
RoofStyle,0.009
Condition1,0.0087
SaleType,0.0085
BsmtFinSF2,0.0083
SaleCondition,0.0082
MSZoning,0.008
ScreenPorch,0.0077
HalfBath,0.0074
ExterQual,0.0073
FullBath,0.007
ExterCond,0.0068
BsmtFinType2,0.0063
MasVnrType,0.0061
Fence,0.0061
BsmtCond,0.006
BldgType,0.0059
LandContour,0.0058
Functional,0.0052
Electrical,0.0043
MiscVal,0.0042
PavedDrive,0.0041
BsmtHalfBath,0.0039
GarageQual,0.0037
GarageCond,0.0034
LandSlope,0.003
3SsnPorch,0.0028
KitchenAbvGr,0.0023
CentralAir,0.0023
LowQualFinSF,0.0019
Heating,0.0019
Alley,0.0015
Condition2,0.0013
RoofMatl,0.0012
MiscFeature,0.0007
PoolArea,0.0005
Street,0.0005
PoolQC,0.0002
Utilities,0.0
